zone_type,rainfall_mm,week_type,population_density,month,special_event,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
market,15.3,normal,medium,5,no,9.77,2.83,9.38,2.44
tourist_area,41.6,holiday,low,2,no,2.28,3.37,2.79,4.26
office,2.3,normal,high,12,no,3.02,5.05,2.57,4.8
school,2.8,normal,medium,1,yes,2.69,5.58,2.57,5.35
residential,104.3,normal,low,9,no,4.8,1.89,4.36,0.97
residential,20.0,holiday,high,2,no,9.71,2.8,8.13,3.76
residential,165.6,festival,medium,6,yes,10.82,2.88,10.81,2.19
office,74.4,normal,low,1,no,1.54,3.18,1.44,2.13
school,14.7,normal,medium,1,no,2.7,4.59,2.84,4.88
office,119.3,normal,medium,9,no,4.27,3.69,3.37,4.27
residential,20.8,normal,high,4,no,5.65,3.33,6.29,3.08
tourist_area,300.0,normal,high,9,no,7.29,6.36,6.72,5.84
office,53.4,normal,high,11,no,4.73,6.01,4.12,5.88
residential,72.8,normal,medium,5,no,5.0,2.45,5.42,2.48
residential,59.5,normal,medium,7,no,6.42,1.74,6.39,1.72
residential,44.4,normal,high,1,no,7.18,3.46,6.57,3.19
residential,82.8,holiday,low,6,no,5.23,3.57,5.09,2.03
market,16.7,normal,medium,8,no,9.1,1.5,8.52,2.1
market,86.6,normal,medium,1,no,7.87,3.19,8.76,3.08
residential,20.4,holiday,low,9,no,4.96,0.54,5.34,0.93
school,100.9,normal,medium,3,no,2.89,3.49,3.1,3.16
residential,4.8,normal,high,1,no,6.43,2.6,5.39,2.56
residential,51.4,normal,high,1,no,6.46,3.39,6.04,3.65
market,9.7,normal,low,11,yes,8.73,1.09,8.05,2.24
market,75.8,normal,low,6,no,7.6,2.38,6.39,1.97
office,7.3,normal,medium,11,no,2.21,4.56,3.06,4.01
residential,112.6,festival,high,6,no,11.84,3.3,12.93,3.03
market,12.8,normal,low,1,no,5.43,2.04,6.85,2.53
school,32.1,normal,high,3,yes,4.03,6.06,3.32,6.11
residential,23.0,normal,low,7,no,4.7,1.24,4.67,1.51
school,2.0,normal,medium,10,no,2.23,3.58,3.15,3.93
residential,3.1,normal,medium,3,yes,5.6,3.24,5.45,2.99
residential,16.3,holiday,high,3,no,8.62,4.59,7.92,3.64
tourist_area,50.6,normal,low,3,yes,5.18,3.7,3.52,3.43
tourist_area,65.7,normal,medium,12,no,4.28,5.39,4.99,5.99
office,66.2,normal,low,7,no,1.72,2.64,2.1,2.04
residential,25.6,normal,high,4,no,7.98,2.26,7.2,2.43
residential,43.9,festival,high,4,no,12.71,2.57,12.24,2.68
school,10.2,normal,low,3,no,1.25,2.47,1.56,2.04
market,15.8,normal,high,10,no,11.15,4.57,11.49,3.91
residential,22.3,normal,medium,11,no,4.62,2.34,4.65,3.25
market,38.3,festival,low,9,no,11.34,2.32,12.09,2.69
residential,0.8,normal,medium,2,no,3.96,2.06,4.1,2.04
tourist_area,5.0,normal,low,4,no,3.13,3.05,4.27,3.66
residential,108.5,holiday,high,8,no,10.68,3.61,10.58,3.32
school,66.2,holiday,high,6,no,3.5,3.97,4.21,5.1
residential,73.9,normal,low,7,no,5.62,1.67,5.11,2.56
market,51.1,normal,medium,7,no,10.22,1.76,10.78,2.55
market,2.4,normal,high,2,yes,11.44,3.61,11.81,4.21
residential,6.4,normal,high,4,no,7.44,3.19,6.74,3.46
tourist_area,72.7,normal,medium,10,no,6.12,4.76,4.96,4.81
office,0.6,normal,high,10,no,4.61,4.87,4.67,3.9
tourist_area,98.4,normal,medium,6,yes,4.92,4.45,4.91,4.47
tourist_area,14.6,normal,medium,3,yes,4.62,5.91,4.76,5.5
school,115.5,normal,high,9,no,2.19,4.87,3.45,4.43
tourist_area,26.7,festival,medium,4,no,8.63,7.72,8.31,7.8
residential,7.6,normal,medium,10,no,4.86,1.43,4.53,2.41
residential,56.4,normal,medium,2,no,4.2,2.85,5.19,2.89
residential,90.2,normal,high,6,no,7.14,2.82,7.79,3.16
residential,51.9,festival,high,1,no,11.26,4.43,11.27,3.54
market,65.8,normal,medium,6,no,9.1,2.73,8.08,2.99
residential,125.4,normal,medium,12,no,4.68,2.47,4.97,3.01
office,44.2,normal,medium,10,no,1.72,3.66,2.78,2.55
market,101.4,normal,medium,1,yes,9.36,3.69,10.43,4.03
residential,115.1,normal,low,8,no,4.88,1.71,3.83,0.95
market,19.3,normal,high,5,no,13.14,2.73,13.68,2.22
residential,152.7,normal,medium,6,yes,7.1,1.88,8.07,2.76
office,63.7,festival,medium,2,yes,7.12,6.18,5.07,5.43
residential,99.8,normal,low,2,yes,3.88,1.58,4.25,1.49
tourist_area,11.8,normal,low,12,no,2.25,4.45,3.01,4.7
office,168.4,holiday,high,9,no,5.72,3.36,5.43,3.73
residential,7.1,normal,medium,3,no,4.44,1.36,4.27,1.77
residential,73.9,normal,low,6,no,3.21,1.43,4.09,1.37
office,5.9,normal,medium,10,no,4.51,2.41,3.56,3.05
office,12.8,normal,medium,5,no,4.9,3.15,4.13,3.07
office,80.4,holiday,low,12,yes,1.82,4.44,2.82,4.21
office,4.7,festival,medium,4,no,3.96,4.46,5.38,4.17
residential,30.0,normal,medium,10,no,6.49,2.88,6.27,2.85
market,27.0,normal,medium,2,no,9.15,2.68,8.65,2.98
residential,73.1,festival,medium,8,no,8.76,2.74,8.58,3.6
office,11.8,holiday,medium,10,yes,5.97,5.72,4.71,5.17
school,45.6,festival,high,7,no,5.97,6.3,6.75,5.92
residential,6.2,normal,medium,11,no,5.48,3.22,5.2,3.09
residential,48.4,normal,medium,2,no,5.8,2.67,5.99,3.03
residential,300.0,holiday,low,6,no,5.2,1.45,5.16,1.01
residential,76.9,normal,medium,8,no,5.32,3.05,5.15,2.67
office,46.9,normal,high,7,no,5.88,3.7,5.72,2.61
school,18.2,normal,low,1,no,1.66,2.99,1.64,2.84
tourist_area,41.3,normal,high,5,no,7.28,5.68,6.35,6.25
market,9.9,normal,low,2,no,5.33,3.23,6.59,2.41
residential,67.0,normal,medium,6,no,4.34,2.12,4.57,2.21
office,97.2,festival,high,7,no,6.78,5.51,7.66,4.97
office,276.5,normal,medium,7,no,3.03,3.14,3.84,2.53
school,14.9,holiday,medium,3,no,2.19,4.48,1.7,4.92
office,87.5,normal,low,7,yes,2.9,1.86,2.42,1.66
market,104.1,normal,high,5,no,13.86,3.52,13.32,3.62
market,192.7,festival,low,8,no,11.74,2.23,11.3,2.35
market,38.1,normal,high,12,no,10.96,5.0,12.02,4.35
residential,128.9,normal,low,8,no,4.53,1.69,4.38,1.65
residential,300.0,normal,high,7,no,8.48,2.06,9.06,1.81
residential,109.2,normal,medium,6,no,6.14,2.65,6.36,2.64
school,67.6,holiday,high,2,no,4.52,6.69,4.35,5.76
residential,133.1,festival,medium,6,no,8.77,1.77,8.98,2.04
market,39.9,normal,high,12,no,12.08,5.38,12.4,4.83
tourist_area,10.3,normal,low,11,no,4.72,2.67,3.69,3.66
residential,50.7,normal,low,9,no,4.63,2.14,5.46,1.95
market,45.8,holiday,medium,2,no,9.35,3.51,8.55,3.91
office,10.6,normal,low,1,yes,3.72,3.76,3.68,3.72
residential,24.8,normal,low,11,no,4.87,1.8,3.59,2.08
residential,8.6,normal,high,5,no,6.26,2.83,6.54,2.75
residential,50.9,normal,high,11,no,6.84,4.03,6.9,4.22
residential,65.2,normal,medium,6,no,6.05,2.45,5.68,2.15
tourist_area,53.1,holiday,high,3,no,6.8,6.72,6.78,6.14
office,112.1,normal,medium,8,no,3.47,3.77,2.67,3.29
school,33.0,normal,medium,7,yes,2.64,3.68,2.4,4.07
office,23.4,holiday,high,2,no,2.47,5.06,3.54,4.44
office,10.0,holiday,medium,12,no,3.14,5.48,3.27,4.69
residential,70.9,normal,high,7,no,7.29,3.47,7.21,2.56
tourist_area,13.0,normal,medium,1,no,2.71,5.34,4.08,5.64
market,28.0,normal,medium,9,no,9.02,2.42,8.38,3.31
office,300.0,normal,low,7,no,3.35,2.6,2.94,2.16
tourist_area,25.3,normal,low,6,no,5.75,2.36,4.71,2.91
residential,32.6,normal,low,2,no,3.49,2.78,3.82,2.55
residential,13.9,normal,high,3,no,5.79,3.27,6.08,3.92
residential,31.2,holiday,high,1,no,8.39,2.99,7.97,3.09
market,13.2,normal,high,10,no,11.15,3.27,10.28,3.45
office,33.6,normal,medium,5,yes,3.73,3.95,4.33,3.76
office,138.5,normal,medium,9,no,2.53,2.82,2.73,2.95
residential,143.0,festival,low,6,no,7.05,2.98,7.08,3.62
market,3.6,holiday,medium,5,no,10.62,2.58,10.42,2.86
market,32.1,holiday,medium,12,no,8.73,4.22,8.6,3.7
residential,9.9,holiday,high,3,no,7.1,3.17,8.25,2.87
residential,0.9,festival,medium,5,no,9.35,2.62,7.96,3.35
residential,79.2,normal,low,8,no,5.46,2.96,4.4,1.9
tourist_area,17.1,normal,low,12,no,2.59,2.92,3.73,3.7
residential,18.9,normal,low,2,no,2.58,1.83,3.29,1.5
market,36.6,holiday,medium,5,no,10.06,3.2,10.37,2.6
office,59.9,holiday,high,6,no,6.83,4.21,7.12,4.61
market,11.4,normal,medium,10,no,7.43,3.42,8.2,2.94
tourist_area,48.8,normal,high,8,no,6.86,4.39,7.09,5.1
tourist_area,140.9,normal,medium,8,no,5.47,4.78,5.57,4.7
residential,25.2,festival,medium,5,no,7.15,3.91,8.0,3.73
market,50.1,normal,low,9,no,8.32,2.1,8.09,1.89
residential,36.6,normal,high,4,no,6.32,4.87,7.97,4.36
residential,23.1,normal,high,12,no,5.05,3.76,5.49,3.32
residential,92.7,normal,low,9,no,3.39,1.47,3.6,0.4
school,21.5,festival,medium,11,yes,3.16,7.72,2.99,7.62
market,142.1,normal,medium,7,no,10.46,1.66,10.41,2.07
residential,132.5,holiday,medium,6,no,7.58,1.38,8.52,1.56
residential,10.2,normal,high,4,no,5.29,2.41,6.61,2.05
tourist_area,4.6,normal,medium,2,no,3.8,6.28,3.58,4.83
residential,53.9,normal,medium,8,no,5.05,1.46,5.38,1.78
residential,129.3,holiday,low,6,yes,6.78,1.88,5.82,2.7
market,61.9,normal,low,12,no,6.11,1.39,5.55,1.76
tourist_area,15.8,normal,low,3,no,3.54,3.87,3.5,3.5
residential,63.0,normal,low,7,no,5.23,0.97,4.64,1.18
school,42.4,festival,high,10,no,6.13,6.2,5.21,7.38
office,189.1,normal,high,7,no,4.68,4.19,5.11,4.25
residential,159.0,holiday,low,6,no,6.17,1.08,5.81,0.92
office,28.0,normal,high,2,no,3.52,4.82,2.64,4.73
market,156.7,normal,low,8,no,7.83,2.81,6.51,2.47
school,0.5,normal,medium,1,no,0.59,4.62,0.93,3.96
school,3.4,normal,low,1,no,1.13,3.01,0.42,3.32
market,67.3,normal,medium,6,no,9.59,2.2,8.61,2.0
residential,37.4,normal,medium,5,no,5.72,2.15,6.33,1.52
office,15.4,normal,medium,9,no,3.27,4.25,3.2,3.81
residential,20.6,festival,medium,12,no,8.82,2.84,8.09,3.19
residential,96.0,normal,high,7,no,6.85,2.73,7.26,2.7
residential,11.2,holiday,low,2,yes,4.43,2.8,3.89,2.32
school,61.3,normal,low,12,no,2.81,4.21,2.66,3.45
school,47.0,normal,low,7,no,0.94,2.87,1.38,3.14
residential,13.0,normal,medium,3,yes,4.14,3.0,4.28,3.19
market,44.6,normal,low,1,no,5.97,2.69,5.59,2.02
residential,0.9,normal,high,11,no,7.59,3.54,6.52,2.65
school,103.8,normal,medium,8,no,1.9,1.61,2.08,1.97
residential,50.8,normal,medium,12,no,2.59,1.65,3.34,2.25
school,80.8,normal,medium,3,no,1.67,3.83,1.71,3.53
market,62.7,festival,low,11,no,11.35,2.2,10.86,2.18
tourist_area,75.7,holiday,low,8,no,4.08,2.51,4.3,2.64
residential,110.3,normal,medium,7,no,5.67,2.45,5.97,2.23
residential,2.4,normal,medium,12,no,5.42,3.22,5.72,3.42
residential,8.9,normal,low,2,yes,6.06,2.48,5.59,2.34
tourist_area,3.0,normal,low,1,no,3.42,2.84,3.87,3.24
office,110.7,normal,high,7,no,6.24,4.1,5.2,3.82
residential,62.4,normal,low,1,no,1.76,0.2,2.15,0.69
school,59.5,normal,high,6,no,5.98,4.03,5.56,4.63
office,24.8,normal,high,11,no,3.64,5.35,4.22,5.47
school,17.0,normal,medium,10,no,2.7,4.13,2.24,4.98
market,18.4,holiday,low,11,yes,8.66,1.91,9.19,2.75
residential,104.8,holiday,low,10,no,5.39,2.05,4.56,1.77
residential,95.1,normal,medium,8,no,7.32,1.75,7.04,1.5
tourist_area,121.0,festival,medium,7,no,9.3,5.1,8.96,5.6
tourist_area,16.3,festival,high,4,no,10.72,8.77,9.57,8.05
school,1.9,normal,high,1,no,2.85,6.73,2.69,6.52
residential,20.2,normal,medium,1,no,3.88,3.0,5.49,2.48
residential,50.4,normal,low,4,no,4.44,1.15,4.38,1.52
office,3.1,festival,low,5,yes,3.04,3.79,5.02,3.21
tourist_area,2.2,holiday,high,12,no,7.72,9.41,6.54,9.39
tourist_area,39.3,normal,low,7,no,5.27,3.23,5.22,2.54
office,43.4,normal,low,4,no,3.3,3.51,1.42,3.08
school,38.6,normal,high,10,no,5.59,4.54,4.75,4.71
residential,25.0,normal,medium,12,no,7.42,3.12,6.74,3.04
residential,18.9,normal,high,1,no,5.93,4.01,6.56,3.55
tourist_area,65.8,holiday,medium,11,no,5.33,6.59,4.92,6.16
school,43.7,normal,low,10,no,0.5,1.37,1.7,2.06
residential,181.2,holiday,high,7,no,10.93,2.48,10.25,2.24
residential,50.3,holiday,medium,2,no,4.37,4.01,4.71,3.04
school,30.9,holiday,medium,11,no,3.83,6.4,3.25,5.57
residential,18.4,normal,medium,2,no,3.35,2.58,3.14,2.38
residential,201.3,normal,low,8,no,5.35,1.38,5.97,0.94
market,78.1,normal,medium,12,yes,9.46,3.81,9.6,4.35
school,0.7,normal,low,10,no,0.68,3.65,1.83,3.12
school,1.6,normal,medium,10,yes,2.96,5.05,3.61,4.87
residential,95.6,normal,medium,10,no,4.63,2.34,4.29,1.77
office,9.7,normal,high,5,no,4.28,3.93,5.08,4.97
residential,62.0,normal,high,10,yes,7.37,4.49,8.03,5.3
residential,14.8,normal,low,2,no,3.36,1.87,2.75,1.48
office,3.8,normal,medium,5,no,2.19,2.39,2.9,3.31
school,47.0,holiday,medium,8,no,3.2,3.27,2.7,3.52
office,58.1,holiday,low,6,no,3.28,1.02,4.19,2.37
school,8.6,normal,high,3,no,4.53,6.1,4.49,5.79
school,78.3,normal,high,8,no,3.92,4.66,3.89,4.58
residential,114.2,normal,low,9,yes,3.97,2.61,5.11,1.15
market,128.9,normal,medium,5,no,8.7,3.82,8.14,2.88
residential,17.5,normal,low,2,no,2.71,2.25,2.53,2.04
residential,21.9,festival,medium,2,no,8.49,3.38,7.75,3.43
tourist_area,110.4,normal,low,7,no,5.22,3.29,6.11,2.54
market,23.3,normal,high,1,no,10.08,3.8,9.65,3.59
tourist_area,21.9,normal,high,10,no,8.6,7.08,6.63,7.04
school,0.3,normal,medium,12,no,1.46,4.93,0.96,4.16
office,0.1,normal,medium,2,no,3.55,3.62,3.75,3.66
market,3.1,normal,high,10,no,10.27,4.68,10.49,4.88
school,3.2,normal,medium,4,no,1.23,4.87,1.69,4.56
market,36.6,normal,low,1,no,5.54,1.34,6.15,1.87
residential,6.9,normal,medium,4,yes,3.17,4.03,4.29,2.61
office,67.5,normal,high,12,no,4.8,5.79,4.57,5.11
residential,79.2,normal,medium,11,no,4.78,2.44,5.23,3.44
residential,111.8,festival,medium,10,no,6.61,4.14,6.96,3.4
school,83.9,normal,high,5,no,3.8,4.31,3.7,5.02
residential,59.3,normal,high,9,no,7.63,3.63,7.69,3.04
tourist_area,21.4,normal,high,1,no,7.07,6.92,7.01,6.73
tourist_area,5.8,normal,low,12,no,3.98,3.04,3.2,3.71
tourist_area,49.2,normal,medium,5,no,4.22,3.83,2.73,4.18
market,65.8,normal,high,2,no,9.14,4.24,10.1,4.25
residential,181.4,holiday,high,9,no,9.18,2.14,9.73,2.24
tourist_area,88.1,normal,medium,6,no,5.32,5.21,5.43,4.26
market,42.6,normal,low,2,no,6.41,2.61,6.33,1.98
tourist_area,3.1,normal,high,3,no,6.64,7.59,5.96,6.8
tourist_area,48.3,holiday,high,8,no,9.14,6.04,9.18,6.09
office,42.0,normal,low,1,no,1.42,2.64,2.2,3.06
residential,16.6,normal,medium,12,no,5.19,2.59,5.06,2.75
market,162.4,normal,low,3,no,5.49,2.92,7.32,2.69
office,3.1,normal,medium,10,no,3.84,3.92,2.59,3.79
residential,58.1,normal,low,1,no,2.78,2.22,3.17,1.53
residential,19.6,normal,medium,11,no,4.36,3.47,3.92,3.12
school,52.7,normal,medium,11,no,3.58,3.73,3.69,4.01
tourist_area,138.9,normal,medium,8,no,5.89,3.62,4.73,4.18
school,74.3,normal,medium,1,no,1.29,4.56,0.91,3.86
school,10.6,normal,high,5,yes,5.2,5.07,4.5,4.49
residential,89.8,festival,low,4,no,5.11,2.14,5.73,2.19
school,78.0,normal,low,7,no,0.88,2.46,1.07,2.55
tourist_area,2.6,normal,high,5,no,6.52,5.74,6.24,5.76
residential,84.7,normal,low,8,no,4.54,2.31,4.38,1.95
market,52.9,normal,high,12,no,12.42,3.79,11.73,4.46
office,19.2,holiday,high,11,no,4.1,5.99,5.31,5.61
office,53.0,normal,medium,1,no,3.84,3.89,3.84,3.63
school,39.2,normal,high,5,no,3.8,4.0,3.59,4.35
office,7.0,normal,low,4,no,1.27,1.34,2.97,1.23
market,89.2,normal,medium,3,no,9.36,1.69,9.22,2.14
residential,1.9,normal,medium,5,no,5.55,1.51,4.95,1.84
office,68.6,normal,medium,10,no,3.6,3.59,3.56,4.24
office,10.9,normal,high,3,no,4.18,4.8,4.37,4.5
office,87.9,holiday,low,8,yes,3.37,3.62,3.11,3.38
tourist_area,16.5,normal,medium,3,yes,4.95,5.2,4.37,5.95
market,5.7,holiday,medium,1,no,10.31,3.59,10.0,3.22
market,81.9,holiday,medium,9,yes,11.24,2.93,11.84,3.92
office,60.7,holiday,medium,9,yes,5.03,3.8,5.77,4.87
school,72.3,normal,medium,6,no,1.8,3.52,2.7,3.46
office,6.2,normal,high,10,no,5.69,4.28,4.68,4.15
office,20.1,holiday,low,1,no,1.3,1.65,2.03,2.96
tourist_area,170.8,normal,high,8,no,7.31,5.29,8.07,5.64
residential,25.2,normal,medium,2,no,5.41,2.49,4.22,2.54
market,222.1,holiday,high,9,no,15.0,4.49,14.69,4.8
residential,143.0,festival,high,8,no,13.57,4.33,13.13,4.54
school,35.1,normal,low,3,no,0.5,3.27,1.04,2.86
residential,33.0,normal,medium,5,yes,8.58,2.85,7.74,2.93
market,102.4,normal,high,9,no,13.39,4.01,12.94,4.01
market,35.1,holiday,medium,1,no,10.78,2.55,10.06,3.02
residential,42.3,festival,high,9,no,12.97,3.71,12.58,3.13
school,59.0,normal,medium,4,no,2.15,4.27,3.04,3.6
residential,45.1,normal,low,4,no,2.44,2.69,2.77,1.6
residential,8.4,holiday,medium,4,no,5.89,3.43,7.52,3.33
office,43.8,normal,high,10,no,5.95,4.9,6.42,4.17
market,0.4,normal,medium,12,no,9.08,2.68,9.48,3.11
residential,35.8,festival,high,9,no,11.18,3.26,11.64,4.34
market,78.4,normal,high,6,no,11.12,3.62,13.27,4.13
office,45.5,normal,medium,11,yes,3.63,5.02,3.44,3.97
residential,141.0,normal,low,8,yes,5.69,1.85,5.03,1.23
school,50.4,normal,high,12,no,2.41,5.31,2.43,5.21
