year,week_start_date,week_end_date,month,zone,area_type,population_density,week_type,special_event,rainfall_mm,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
2023,2023-01-09,2023-01-15,1,Kalutara North,town,medium,holiday,no,15.8,17.11,8.91,16.3,7.68
2023,2023-01-09,2023-01-15,1,Kalutara South,beach,low,holiday,no,15.8,13.23,6.68,11.69,5.7
2023,2023-01-09,2023-01-15,1,Katukurunda 1,muslim_area,high,holiday,no,15.8,35.43,18.47,31.36,15.9
2023,2023-01-09,2023-01-15,1,Katukurunda 2,town,medium,holiday,no,15.8,22.27,11.07,20.18,9.7
2023,2023-01-16,2023-01-22,1,Kalutara North,town,medium,holiday,no,6.9,16.3,7.68,16.31,8.55
2023,2023-01-16,2023-01-22,1,Kalutara South,beach,low,holiday,no,6.9,11.69,5.7,12.44,6.6
2023,2023-01-16,2023-01-22,1,Katukurunda 1,muslim_area,high,holiday,no,6.9,31.36,15.9,33.75,17.85
2023,2023-01-16,2023-01-22,1,Katukurunda 2,town,medium,holiday,no,6.9,20.18,9.7,20.26,11.19
2023,2023-01-23,2023-01-31,1,Kalutara North,town,medium,normal,no,20.7,16.31,8.55,18.52,10.01
2023,2023-01-23,2023-01-31,1,Kalutara South,beach,low,normal,no,20.7,12.44,6.6,14.22,7.29
2023,2023-01-23,2023-01-31,1,Katukurunda 1,muslim_area,high,normal,no,20.7,33.75,17.85,38.5,19.29
2023,2023-01-23,2023-01-31,1,Katukurunda 2,town,medium,normal,no,20.7,20.26,11.19,23.7,12.08
2023,2023-02-01,2023-02-05,2,Kalutara North,town,medium,festival,yes,3.8,18.52,10.01,16.28,6.51
2023,2023-02-01,2023-02-05,2,Kalutara South,beach,low,festival,yes,3.8,14.22,7.29,12.59,4.89
2023,2023-02-01,2023-02-05,2,Katukurunda 1,muslim_area,high,festival,yes,3.8,38.5,19.29,33.51,13.07
2023,2023-02-01,2023-02-05,2,Katukurunda 2,town,medium,festival,yes,3.8,23.7,12.08,21.01,8.49
2023,2023-02-06,2023-02-12,2,Kalutara North,town,medium,normal,no,3.7,16.28,6.51,18.75,7.28
2023,2023-02-06,2023-02-12,2,Kalutara South,beach,low,normal,no,3.7,12.59,4.89,14.01,5.31
2023,2023-02-06,2023-02-12,2,Katukurunda 1,muslim_area,high,normal,no,3.7,33.51,13.07,35.55,14.41
2023,2023-02-06,2023-02-12,2,Katukurunda 2,town,medium,normal,no,3.7,21.01,8.49,22.17,8.77
2023,2023-02-13,2023-02-19,2,Kalutara North,town,medium,holiday,no,18.4,18.75,7.28,17.5,6.97
2023,2023-02-13,2023-02-19,2,Kalutara South,beach,low,holiday,no,18.4,14.01,5.31,13.05,5.28
2023,2023-02-13,2023-02-19,2,Katukurunda 1,muslim_area,high,holiday,no,18.4,35.55,14.41,35.17,13.52
2023,2023-02-13,2023-02-19,2,Katukurunda 2,town,medium,holiday,no,18.4,22.17,8.77,21.21,8.59
2023,2023-02-20,2023-02-28,2,Kalutara North,town,medium,normal,no,13.8,17.5,6.97,19.27,7.37
2023,2023-02-20,2023-02-28,2,Kalutara South,beach,low,normal,no,13.8,13.05,5.28,14.17,5.36
2023,2023-02-20,2023-02-28,2,Katukurunda 1,muslim_area,high,normal,no,13.8,35.17,13.52,37.31,15.07
2023,2023-02-20,2023-02-28,2,Katukurunda 2,town,medium,normal,no,13.8,21.21,8.59,23.28,9.37
2023,2023-03-01,2023-03-05,3,Kalutara North,town,medium,normal,no,8.6,19.27,7.37,15.2,4.74
2023,2023-03-01,2023-03-05,3,Kalutara South,beach,low,normal,no,8.6,14.17,5.36,11.51,3.53
2023,2023-03-01,2023-03-05,3,Katukurunda 1,muslim_area,high,normal,no,8.6,37.31,15.07,30.27,9.69
2023,2023-03-01,2023-03-05,3,Katukurunda 2,town,medium,normal,no,8.6,23.28,9.37,18.66,6.0
2023,2023-03-06,2023-03-12,3,Kalutara North,town,medium,holiday,no,2.9,15.2,4.74,20.0,6.17
2023,2023-03-06,2023-03-12,3,Kalutara South,beach,low,holiday,no,2.9,11.51,3.53,14.85,4.77
2023,2023-03-06,2023-03-12,3,Katukurunda 1,muslim_area,high,holiday,no,2.9,30.27,9.69,39.69,12.7
2023,2023-03-06,2023-03-12,3,Katukurunda 2,town,medium,holiday,no,2.9,18.66,6.0,24.86,7.85
2023,2023-03-13,2023-03-19,3,Kalutara North,town,medium,normal,no,16.5,20.0,6.17,17.01,5.28
2023,2023-03-13,2023-03-19,3,Kalutara South,beach,low,normal,no,16.5,14.85,4.77,12.76,4.03
2023,2023-03-13,2023-03-19,3,Katukurunda 1,muslim_area,high,normal,no,16.5,39.69,12.7,33.3,10.82
2023,2023-03-13,2023-03-19,3,Katukurunda 2,town,medium,normal,no,16.5,24.86,7.85,21.21,6.58
2023,2023-03-20,2023-03-26,3,Kalutara North,town,medium,normal,no,19.6,17.01,5.28,18.45,6.01
2023,2023-03-20,2023-03-26,3,Kalutara South,beach,low,normal,no,19.6,12.76,4.03,14.08,4.43
2023,2023-03-20,2023-03-26,3,Katukurunda 1,muslim_area,high,normal,no,19.6,33.3,10.82,37.51,11.6
2023,2023-03-20,2023-03-26,3,Katukurunda 2,town,medium,normal,no,19.6,21.21,6.58,22.89,7.39
2023,2023-03-27,2023-03-31,3,Kalutara North,town,medium,normal,no,18.8,18.45,6.01,15.96,5.02
2023,2023-03-27,2023-03-31,3,Kalutara South,beach,low,normal,no,18.8,14.08,4.43,11.95,3.78
2023,2023-03-27,2023-03-31,3,Katukurunda 1,muslim_area,high,normal,no,18.8,37.51,11.6,31.58,10.12
2023,2023-03-27,2023-03-31,3,Katukurunda 2,town,medium,normal,no,18.8,22.89,7.39,20.47,6.41
2023,2023-04-01,2023-04-09,4,Kalutara North,town,medium,festival,yes,38.7,15.96,5.02,21.72,8.76
2023,2023-04-01,2023-04-09,4,Kalutara South,beach,low,festival,yes,38.7,11.95,3.78,16.88,6.43
2023,2023-04-01,2023-04-09,4,Katukurunda 1,muslim_area,high,festival,yes,38.7,31.58,10.12,45.35,17.31
2023,2023-04-01,2023-04-09,4,Katukurunda 2,town,medium,festival,yes,38.7,20.47,6.41,27.54,10.94
2023,2023-04-10,2023-04-16,4,Kalutara North,town,medium,festival,yes,104.6,21.72,8.76,23.42,9.26
2023,2023-04-10,2023-04-16,4,Kalutara South,beach,low,festival,yes,104.6,16.88,6.43,17.73,7.14
2023,2023-04-10,2023-04-16,4,Katukurunda 1,muslim_area,high,festival,yes,104.6,45.35,17.31,49.17,18.59
2023,2023-04-10,2023-04-16,4,Katukurunda 2,town,medium,festival,yes,104.6,27.54,10.94,30.09,11.92
2023,2023-04-17,2023-04-23,4,Kalutara North,town,medium,holiday,no,27.9,23.42,9.26,22.29,8.68
2023,2023-04-17,2023-04-23,4,Kalutara South,beach,low,holiday,no,27.9,17.73,7.14,15.99,6.86
2023,2023-04-17,2023-04-23,4,Katukurunda 1,muslim_area,high,holiday,no,27.9,49.17,18.59,44.02,17.48
2023,2023-04-17,2023-04-23,4,Katukurunda 2,town,medium,holiday,no,27.9,30.09,11.92,27.78,11.13
2023,2023-04-24,2023-04-30,4,Kalutara North,town,medium,normal,no,26.1,22.29,8.68,20.55,8.01
2023,2023-04-24,2023-04-30,4,Kalutara South,beach,low,normal,no,26.1,15.99,6.86,15.72,5.82
2023,2023-04-24,2023-04-30,4,Katukurunda 1,muslim_area,high,normal,no,26.1,44.02,17.48,42.21,15.62
2023,2023-04-24,2023-04-30,4,Katukurunda 2,town,medium,normal,no,26.1,27.78,11.13,25.51,9.81
2023,2023-05-01,2023-05-07,5,Kalutara North,town,medium,festival,yes,149.0,20.55,8.01,22.28,7.42
2023,2023-05-01,2023-05-07,5,Kalutara South,beach,low,festival,yes,149.0,15.72,5.82,16.63,5.71
2023,2023-05-01,2023-05-07,5,Katukurunda 1,muslim_area,high,festival,yes,149.0,42.21,15.62,45.35,14.85
2023,2023-05-01,2023-05-07,5,Katukurunda 2,town,medium,festival,yes,149.0,25.51,9.81,28.18,9.12
2023,2023-05-08,2023-05-14,5,Kalutara North,town,medium,normal,no,19.7,22.28,7.42,21.54,7.08
2023,2023-05-08,2023-05-14,5,Kalutara South,beach,low,normal,no,19.7,16.63,5.71,15.96,5.47
2023,2023-05-08,2023-05-14,5,Katukurunda 1,muslim_area,high,normal,no,19.7,45.35,14.85,42.85,14.46
2023,2023-05-08,2023-05-14,5,Katukurunda 2,town,medium,normal,no,19.7,28.18,9.12,27.76,8.66
2023,2023-05-15,2023-05-21,5,Kalutara North,town,medium,normal,no,154.7,21.54,7.08,20.81,6.63
2023,2023-05-15,2023-05-21,5,Kalutara South,beach,low,normal,no,154.7,15.96,5.47,15.56,4.99
2023,2023-05-15,2023-05-21,5,Katukurunda 1,muslim_area,high,normal,no,154.7,42.85,14.46,39.39,13.7
2023,2023-05-15,2023-05-21,5,Katukurunda 2,town,medium,normal,no,154.7,27.76,8.66,25.88,8.2
2023,2023-05-22,2023-05-31,5,Kalutara North,town,medium,normal,no,21.9,20.81,6.63,21.89,7.45
2023,2023-05-22,2023-05-31,5,Kalutara South,beach,low,normal,no,21.9,15.56,4.99,16.82,5.53
2023,2023-05-22,2023-05-31,5,Katukurunda 1,muslim_area,high,normal,no,21.9,39.39,13.7,44.3,14.57
2023,2023-05-22,2023-05-31,5,Katukurunda 2,town,medium,normal,no,21.9,25.88,8.2,27.27,8.84
2023,2023-06-01,2023-06-04,6,Kalutara North,town,medium,holiday,no,19.1,21.89,7.45,14.71,4.09
2023,2023-06-01,2023-06-04,6,Kalutara South,beach,low,holiday,no,19.1,16.82,5.53,10.87,3.13
2023,2023-06-01,2023-06-04,6,Katukurunda 1,muslim_area,high,holiday,no,19.1,44.3,14.57,28.71,8.45
2023,2023-06-01,2023-06-04,6,Katukurunda 2,town,medium,holiday,no,19.1,27.27,8.84,18.47,5.21
2023,2023-06-05,2023-06-11,6,Kalutara North,town,medium,normal,no,64.6,14.71,4.09,19.27,5.52
2023,2023-06-05,2023-06-11,6,Kalutara South,beach,low,normal,no,64.6,10.87,3.13,14.74,4.25
2023,2023-06-05,2023-06-11,6,Katukurunda 1,muslim_area,high,normal,no,64.6,28.71,8.45,38.91,11.31
2023,2023-06-05,2023-06-11,6,Katukurunda 2,town,medium,normal,no,64.6,18.47,5.21,24.85,6.98
2023,2023-06-12,2023-06-18,6,Kalutara North,town,medium,normal,no,25.9,19.27,5.52,16.45,4.88
2023,2023-06-12,2023-06-18,6,Kalutara South,beach,low,normal,no,25.9,14.74,4.25,12.24,3.6
2023,2023-06-12,2023-06-18,6,Katukurunda 1,muslim_area,high,normal,no,25.9,38.91,11.31,34.2,9.55
2023,2023-06-12,2023-06-18,6,Katukurunda 2,town,medium,normal,no,25.9,24.85,6.98,21.24,6.12
2023,2023-06-19,2023-06-25,6,Kalutara North,town,medium,normal,no,20.4,16.45,4.88,19.01,5.32
2023,2023-06-19,2023-06-25,6,Kalutara South,beach,low,normal,no,20.4,12.24,3.6,14.28,4.0
2023,2023-06-19,2023-06-25,6,Katukurunda 1,muslim_area,high,normal,no,20.4,34.2,9.55,38.18,11.15
2023,2023-06-19,2023-06-25,6,Katukurunda 2,town,medium,normal,no,20.4,21.24,6.12,24.03,6.94
2023,2023-06-26,2023-06-30,6,Kalutara North,town,medium,holiday,no,18.9,19.01,5.32,20.67,6.09
2023,2023-06-26,2023-06-30,6,Kalutara South,beach,low,holiday,no,18.9,14.28,4.0,15.52,4.43
2023,2023-06-26,2023-06-30,6,Katukurunda 1,muslim_area,high,holiday,no,18.9,38.18,11.15,41.94,12.13
2023,2023-06-26,2023-06-30,6,Katukurunda 2,town,medium,holiday,no,18.9,24.03,6.94,26.46,7.37
2023,2023-07-01,2023-07-09,7,Kalutara North,town,medium,holiday,yes,26.1,20.67,6.09,24.03,8.03
2023,2023-07-01,2023-07-09,7,Kalutara South,beach,low,holiday,yes,26.1,15.52,4.43,17.89,5.93
2023,2023-07-01,2023-07-09,7,Katukurunda 1,muslim_area,high,holiday,yes,26.1,41.94,12.13,47.93,15.93
2023,2023-07-01,2023-07-09,7,Katukurunda 2,town,medium,holiday,yes,26.1,26.46,7.37,29.5,10.2
2023,2023-07-10,2023-07-16,7,Kalutara North,town,medium,normal,no,33.8,24.03,8.03,21.29,7.06
2023,2023-07-10,2023-07-16,7,Kalutara South,beach,low,normal,no,33.8,17.89,5.93,15.25,5.34
2023,2023-07-10,2023-07-16,7,Katukurunda 1,muslim_area,high,normal,no,33.8,47.93,15.93,40.77,13.77
2023,2023-07-10,2023-07-16,7,Katukurunda 2,town,medium,normal,no,33.8,29.5,10.2,26.56,8.72
2023,2023-07-17,2023-07-23,7,Kalutara North,town,medium,normal,no,25.9,21.29,7.06,21.36,7.42
2023,2023-07-17,2023-07-23,7,Kalutara South,beach,low,normal,no,25.9,15.25,5.34,16.56,5.35
2023,2023-07-17,2023-07-23,7,Katukurunda 1,muslim_area,high,normal,no,25.9,40.77,13.77,43.02,14.46
2023,2023-07-17,2023-07-23,7,Katukurunda 2,town,medium,normal,no,25.9,26.56,8.72,27.35,9.14
2023,2023-07-24,2023-07-31,7,Kalutara North,town,medium,normal,no,138.4,21.36,7.42,22.77,7.65
2023,2023-07-24,2023-07-31,7,Kalutara South,beach,low,normal,no,138.4,16.56,5.35,16.58,5.47
2023,2023-07-24,2023-07-31,7,Katukurunda 1,muslim_area,high,normal,no,138.4,43.02,14.46,44.06,14.59
2023,2023-07-24,2023-07-31,7,Katukurunda 2,town,medium,normal,no,138.4,27.35,9.14,27.09,9.39
2023,2023-08-01,2023-08-06,8,Kalutara North,town,medium,holiday,no,12.1,22.77,7.65,10.86,6.75
2023,2023-08-01,2023-08-06,8,Kalutara South,beach,low,holiday,no,12.1,16.58,5.47,7.96,5.2
2023,2023-08-01,2023-08-06,8,Katukurunda 1,muslim_area,high,holiday,no,12.1,44.06,14.59,21.84,13.39
2023,2023-08-01,2023-08-06,8,Katukurunda 2,town,medium,holiday,no,12.1,27.09,9.39,13.09,8.48
2023,2023-08-07,2023-08-13,8,Kalutara North,town,medium,normal,no,19.5,10.86,6.75,14.31,8.83
2023,2023-08-07,2023-08-13,8,Kalutara South,beach,low,normal,no,19.5,7.96,5.2,10.72,6.77
2023,2023-08-07,2023-08-13,8,Katukurunda 1,muslim_area,high,normal,no,19.5,21.84,13.39,27.88,17.67
2023,2023-08-07,2023-08-13,8,Katukurunda 2,town,medium,normal,no,19.5,13.09,8.48,17.27,10.88
2023,2023-08-14,2023-08-20,8,Kalutara North,town,medium,normal,no,76.9,14.31,8.83,11.86,7.64
2023,2023-08-14,2023-08-20,8,Kalutara South,beach,low,normal,no,76.9,10.72,6.77,8.82,5.57
2023,2023-08-14,2023-08-20,8,Katukurunda 1,muslim_area,high,normal,no,76.9,27.88,17.67,24.02,15.17
2023,2023-08-14,2023-08-20,8,Katukurunda 2,town,medium,normal,no,76.9,17.27,10.88,15.03,9.2
2023,2023-08-21,2023-08-27,8,Kalutara North,town,medium,normal,no,24.8,11.86,7.64,13.41,8.59
2023,2023-08-21,2023-08-27,8,Kalutara South,beach,low,normal,no,24.8,8.82,5.57,10.11,6.49
2023,2023-08-21,2023-08-27,8,Katukurunda 1,muslim_area,high,normal,no,24.8,24.02,15.17,27.82,17.31
2023,2023-08-21,2023-08-27,8,Katukurunda 2,town,medium,normal,no,24.8,15.03,9.2,17.35,10.82
2023,2023-08-28,2023-08-31,8,Kalutara North,town,medium,holiday,no,11.3,13.41,8.59,9.18,5.84
2023,2023-08-28,2023-08-31,8,Kalutara South,beach,low,holiday,no,11.3,10.11,6.49,6.8,4.46
2023,2023-08-28,2023-08-31,8,Katukurunda 1,muslim_area,high,holiday,no,11.3,27.82,17.31,18.55,11.69
2023,2023-08-28,2023-08-31,8,Katukurunda 2,town,medium,holiday,no,11.3,17.35,10.82,11.76,7.14
2023,2023-09-01,2023-09-10,9,Kalutara North,town,medium,normal,no,31.7,9.18,5.84,24.74,8.49
2023,2023-09-01,2023-09-10,9,Kalutara South,beach,low,normal,no,31.7,6.8,4.46,18.69,6.38
2023,2023-09-01,2023-09-10,9,Katukurunda 1,muslim_area,high,normal,no,31.7,18.55,11.69,48.08,17.03
2023,2023-09-01,2023-09-10,9,Katukurunda 2,town,medium,normal,no,31.7,11.76,7.14,29.58,10.9
2023,2023-09-11,2023-09-17,9,Kalutara North,town,medium,normal,no,44.2,24.74,8.49,24.08,8.6
2023,2023-09-11,2023-09-17,9,Kalutara South,beach,low,normal,no,44.2,18.69,6.38,18.23,6.18
2023,2023-09-11,2023-09-17,9,Katukurunda 1,muslim_area,high,normal,no,44.2,48.08,17.03,46.48,16.47
2023,2023-09-11,2023-09-17,9,Katukurunda 2,town,medium,normal,no,44.2,29.58,10.9,29.92,10.71
2023,2023-09-18,2023-09-24,9,Kalutara North,town,medium,normal,no,69.1,24.08,8.6,22.39,7.88
2023,2023-09-18,2023-09-24,9,Kalutara South,beach,low,normal,no,69.1,18.23,6.18,15.99,5.88
2023,2023-09-18,2023-09-24,9,Katukurunda 1,muslim_area,high,normal,no,69.1,46.48,16.47,44.08,15.3
2023,2023-09-18,2023-09-24,9,Katukurunda 2,town,medium,normal,no,69.1,29.92,10.71,26.75,9.55
2023,2023-09-25,2023-09-30,9,Kalutara North,town,medium,festival,yes,26.1,22.39,7.88,25.36,8.75
2023,2023-09-25,2023-09-30,9,Kalutara South,beach,low,festival,yes,26.1,15.99,5.88,18.75,6.81
2023,2023-09-25,2023-09-30,9,Katukurunda 1,muslim_area,high,festival,yes,26.1,44.08,15.3,50.72,17.86
2023,2023-09-25,2023-09-30,9,Katukurunda 2,town,medium,festival,yes,26.1,26.75,9.55,31.01,11.04
2023,2023-10-01,2023-10-08,10,Kalutara North,town,medium,normal,no,270.7,25.36,8.75,25.28,22.96
2023,2023-10-01,2023-10-08,10,Kalutara South,beach,low,normal,no,270.7,18.75,6.81,19.17,17.65
2023,2023-10-01,2023-10-08,10,Katukurunda 1,muslim_area,high,normal,no,270.7,50.72,17.86,51.07,46.62
2023,2023-10-01,2023-10-08,10,Katukurunda 2,town,medium,normal,no,270.7,31.01,11.04,32.31,29.46
2023,2023-10-09,2023-10-15,10,Kalutara North,town,medium,normal,no,42.9,25.28,22.96,23.46,21.44
2023,2023-10-09,2023-10-15,10,Kalutara South,beach,low,normal,no,42.9,19.17,17.65,17.62,15.97
2023,2023-10-09,2023-10-15,10,Katukurunda 1,muslim_area,high,normal,no,42.9,51.07,46.62,47.14,43.06
2023,2023-10-09,2023-10-15,10,Katukurunda 2,town,medium,normal,no,42.9,32.31,29.46,29.58,27.06
2023,2023-10-16,2023-10-22,10,Kalutara North,town,medium,normal,no,137.3,23.46,21.44,22.6,21.36
2023,2023-10-16,2023-10-22,10,Kalutara South,beach,low,normal,no,137.3,17.62,15.97,16.95,15.45
